Feature	Gain	Cover	Frequency
mtransferencias_emitidas	0.0017495712924443	0.0091371413090867	0.0029445444135449
cliente_antiguedad	0.00174187365920469	0.00152125646155318	0.00308086591417198
mcaja_ahorro_dolares	0.00163204924594817	0.0036188516582329	0.00248105131141284
Visa_cconsumos	0.00160167215487783	0.0019564121347989	0.00289001581329407
ccuenta_debitos_automaticos	0.00159878487692679	0.00159839385124611	0.000981514804514968
Visa_mlimitecompra	0.00156899704278407	0.00167866579917744	0.00253557991166367
mcomisiones_otras	0.0015304816741668	0.00216548466610406	0.00316265881454823
ccajas_consultas	0.00148012212493204	0.0049245550909694	0.00130868640601996
cmobile_app_trx	0.00146032152206338	0.00386825207523261	0.00163585800752495
Master_mlimitecompra	0.00145946527342103	0.00178975348624135	0.00269916571241616
internet	0.00141388475576996	0.00808105940903754	0.00160859370739953
Master_msaldopesos	0.0014075512089576	0.00327716951293501	0.00199029390915535
Master_mpagominimo	0.00137795845660749	0.0029104901696179	0.00212661540978243
tcallcenter	0.00133848587622606	0.00165512462710126	0.000899721904138721
ctarjeta_debito_transacciones	0.00123735650317035	0.00261707521479852	0.00171765090790119
Master_mpagospesos	0.00119166048315381	0.0023575938693737	0.00160859370739953
ctarjeta_visa	0.00112117452974379	0.000827875213108588	0.000327171601504989
ctransferencias_recibidas	0.00108668011188679	0.00550568744732388	0.00169038660777578
Visa_mconsumototal	0.00096869608400418	0.000806652279090708	0.00117236490539288
mttarjeta_visa_debitos_automaticos	0.000901994979384792	0.00382563793676791	0.00152680080702328
ccajas_otras	0.000875674975761051	0.00392947330741066	0.000681607503135395
Visa_mconsumosdolares	0.00080281640840418	0.00299654450138033	0.00141774360652162
ctarjeta_master	0.000738086671297386	0.000273360179151212	0.000654343203009979
mextraccion_autoservicio	0.000722988466047154	0.00124551824576148	0.000572550302633731
mplazo_fijo_dolares	0.000636184726578756	0.00769819690058275	0.00106330770489122
ctransferencias_emitidas	0.000516214038628669	0.0014583080238152	0.00100877910464038
cseguro_auto	0.000444559838274328	0.00787379752317443	0.000954250504389552
mttarjeta_master_debitos_automaticos	0.000416975666659173	0.00307596814384341	0.00070887180326081
Visa_fultimo_cierre	0.000367761705648922	0.0012427410883515	0.000736136103386226
ccheques_emitidos	0.000366517798817418	0.00386558478033409	0.000490757402257484
cplazo_fijo	0.000343956595863511	0.00168700422473089	0.000299907301379574
Master_mconsumototal	0.000335207863460181	0.000467782057820351	0.000408964501881237
Visa_mpagado	0.000331151729410588	0.000740748678860884	0.000545286002508316
catm_trx	0.000314715952773899	0.00042396777571778	0.000436228802006653
Master_delinquency	0.000303892280987075	0.0029268249172081	0.000545286002508316
ctarjeta_debito	0.000295825673709894	0.000306285556636785	0.000490757402257484
mprestamos_prendarios	0.000294982482421218	0.00556733561356545	0.000681607503135395
cextraccion_autoservicio	0.000272435892390372	0.000261903883335781	0.000354435901630405
Visa_delinquency	0.000264835082385174	0.00297424658354777	0.000490757402257484
Master_cconsumos	0.000257225639269623	0.00015190230540417	0.000218114401003326
Master_fultimo_cierre	0.000256211963911461	0.000415120366883382	0.000545286002508316
ctarjeta_visa_debitos_automaticos	0.000237203095360256	0.000694667613293984	0.000381700201755821
matm	0.000210593668742295	0.000470849864153058	0.000381700201755821
cpagomiscuentas	0.000204417590166743	9.35305452006121e-05	0.000163585800752495
Visa_msaldodolares	0.000191821852160095	0.000961103672893723	0.000490757402257484
Master_mconsumosdolares	0.000176689265355199	5.30469050594348e-05	8.17929003762474e-05
mcheques_emitidos	0.000175247322474071	0.00169237358114548	0.000218114401003326
cseguro_accidentes_personales	0.000171099006913633	0.0017785544633958	0.000408964501881237
ctarjeta_master_transacciones	0.000114425847309046	0.000120181243550566	0.000245378701128742
cseguro_vivienda	9.41477186099237e-05	0.000283250586512143	0.000136321500627079
Master_mpagosdolares	8.92443377160498e-05	7.16873747256208e-05	0.000109057200501663
mcheques_depositados	8.6915711648831e-05	0.00259449777336085	0.000327171601504989
catm_trx_other	8.38444014486101e-05	0.000155262151324306	8.17929003762474e-05
matm_other	8.29685627667427e-05	0.000132280026458342	0.000109057200501663
Master_mpagado	8.13648304555167e-05	0.000198166938711741	0.000272643001254158
Visa_mpagosdolares	5.10779360119135e-05	5.04825193488673e-05	0.000136321500627079
mcaja_ahorro_adicional	4.91316163169354e-05	0.000358111458087826	0.000109057200501663
ccajas_depositos	3.93473825429772e-05	0.000553555475312966	0.000163585800752495
ctarjeta_master_debitos_automaticos	3.77953499638776e-05	0.000132627692633852	5.45286002508316e-05
Master_msaldodolares	3.66934602302458e-05	0.000127024704549321	8.17929003762474e-05
active_quarter	3.43027698728624e-05	4.72228012872782e-05	8.17929003762474e-05
ccheques_depositados	1.07512256197044e-05	0.000190294385833474	2.72643001254158e-05
